자치구,사립어린이집수,사립유치원수,23년 출생인구,22년 출산율
강남구,45,25,2350,0.490
강동구,65,26,2249,0.719
강북구,37,17,863,0.483
강서구,76,43,2684,0.588
관악구,45,23,1489,0.422
광진구,52,30,1279,0.461
구로구,58,22,2014,0.684
금천구,35,12,966,0.588
노원구,38,58,2117,0.716
도봉구,45,25,1022,0.573
동대문구,43,25,1393,0.620
동작구,37,28,1736,0.567
마포구,27,17,1628,0.529
서대문구,31,18,1332,0.607
서초구,22,19,1797,0.599
성동구,17,18,1521,0.723
성북구,41,37,1758,0.649
송파구,85,40,3114,0.598
양천구,37,34,1534,0.608
영등포구,41,30,2216,0.671
용산구,17,13,1047,0.596
은평구,79,32,1777,0.613
종로구,5,12,407,0.477
중구,3,10,550,0.606
중랑구,63,24,1811,0.659
